Id,Predicted
1,POSITIVE
2,POSITIVE
3,NEGATIVE
4,NEUTRAL
5,NEUTRAL
6,POSITIVE
7,NEUTRAL
8,NEGATIVE
9,NEGATIVE
10,NEGATIVE
11,NEUTRAL
12,NEUTRAL
13,NEGATIVE
14,NEGATIVE
15,NEGATIVE
16,POSITIVE
17,NEUTRAL
18,NEGATIVE
19,POSITIVE
20,NEUTRAL
21,NEGATIVE
22,NEGATIVE
23,POSITIVE
24,NEGATIVE
25,NEUTRAL
26,NEGATIVE
27,NEGATIVE
28,NEGATIVE
29,POSITIVE
30,NEGATIVE
31,NEGATIVE
32,POSITIVE
33,NEGATIVE
34,NEUTRAL
35,NEGATIVE
36,NEGATIVE
37,POSITIVE
38,NEGATIVE
39,POSITIVE
40,NEUTRAL
41,NEGATIVE
42,NEGATIVE
43,NEGATIVE
44,POSITIVE
45,NEGATIVE
46,POSITIVE
47,NEUTRAL
48,NEGATIVE
49,POSITIVE
50,NEGATIVE
51,POSITIVE
52,NEUTRAL
53,NEUTRAL
54,NEGATIVE
55,NEUTRAL
56,NEGATIVE
57,NEGATIVE
58,NEGATIVE
59,NEUTRAL
60,NEUTRAL
61,NEUTRAL
62,POSITIVE
63,NEUTRAL
64,POSITIVE
65,NEGATIVE
66,NEUTRAL
67,NEGATIVE
68,NEGATIVE
69,POSITIVE
70,NEUTRAL
71,POSITIVE
72,POSITIVE
73,NEGATIVE
74,NEGATIVE
75,POSITIVE
76,POSITIVE
77,POSITIVE
78,NEGATIVE
79,NEGATIVE
80,NEGATIVE
81,NEUTRAL
82,NEGATIVE
83,NEUTRAL
84,NEUTRAL
85,POSITIVE
86,NEGATIVE
87,NEUTRAL
88,POSITIVE
89,NEGATIVE
90,NEGATIVE
91,NEGATIVE
92,NEGATIVE
93,NEUTRAL
94,POSITIVE
95,POSITIVE
96,POSITIVE
97,NEUTRAL
98,POSITIVE
99,NEGATIVE
100,NEUTRAL
101,POSITIVE
102,NEUTRAL
103,POSITIVE
104,NEGATIVE
105,POSITIVE
106,NEGATIVE
107,NEGATIVE
108,NEGATIVE
109,NEUTRAL
110,NEGATIVE
111,NEGATIVE
112,NEGATIVE
113,NEGATIVE
114,NEUTRAL
115,NEGATIVE
116,NEUTRAL
117,POSITIVE
118,NEGATIVE
119,POSITIVE
